"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","choiceType","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","safe","risky","risky","100","2942","bandit","high_value","bandit-task","11","222856","0.0-7.0-0.0","33885","276352","highRank"
"2","1","2","false","risky","safe","safe","10","1909","bandit","low_value","bandit-task","12","228369","0.0-7.0-0.1","33885","276352","highRank"
"3","1","3","false","risky","safe","risky","80","950","bandit","high_value","bandit-task","13","232421","0.0-7.0-0.2","33885","276352","highRank"
"4","1","4","false","safe","risky","risky","0","1622","bandit","low_value","bandit-task","14","237175","0.0-7.0-0.3","33885","276352","highRank"
"5","1","5","false","risky","safe","safe","10","1074","bandit","low_value","bandit-task","15","241958","0.0-7.0-0.4","33885","276352","highRank"
"6","1","6","false","safe","risky","safe","10","901","bandit","low_value","bandit-task","16","245987","0.0-7.0-0.5","33885","276352","highRank"
"7","1","7","false","safe","risky","safe","50","992","bandit","decision","bandit-task","17","249986","0.0-7.0-0.6","33885","276352","highRank"
"8","1","8","false","risky","safe","risky","0","1307","bandit","low_value","bandit-task","18","254549","0.0-7.0-0.7","33885","276352","highRank"
"9","1","9","false","risky","safe","safe","10","1029","bandit","low_value","bandit-task","19","258662","0.0-7.0-0.8","33885","276352","highRank"
"10","1","10","false","safe","risky","risky","30","831","bandit","decision","bandit-task","20","262327","0.0-7.0-0.9","33885","276352","highRank"
"11","1","11","false","risky","safe","safe","50","694","bandit","decision","bandit-task","21","265961","0.0-7.0-0.10","33885","276352","highRank"
"12","1","12","false","risky","safe","safe","50","602","bandit","decision","bandit-task","22","269365","0.0-7.0-0.11","33885","276352","highRank"
"13","1","13","false","risky","safe","safe","10","654","bandit","low_value","bandit-task","23","272956","0.0-7.0-0.12","33885","276352","highRank"
"14","1","14","false","risky","safe","safe","50","680","bandit","decision","bandit-task","24","276309","0.0-7.0-0.13","33885","276352","highRank"
"15","1","15","false","risky","safe","risky","0","630","bandit","low_value","bandit-task","25","279947","0.0-7.0-0.14","33885","276352","highRank"
"16","1","16","false","safe","risky","safe","10","653","bandit","low_value","bandit-task","26","283220","0.0-7.0-0.15","33885","276352","highRank"
"17","1","17","false","safe","risky","risky","70","665","bandit","decision","bandit-task","27","287631","0.0-7.0-0.16","33885","276352","highRank"
"18","1","18","false","risky","safe","safe","10","698","bandit","low_value","bandit-task","28","291005","0.0-7.0-0.17","33885","276352","highRank"
"19","1","19","false","risky","safe","safe","10","550","bandit","low_value","bandit-task","29","294173","0.0-7.0-0.18","33885","276352","highRank"
"20","1","20","false","risky","safe","safe","50","575","bandit","decision","bandit-task","30","297456","0.0-7.0-0.19","33885","276352","highRank"
"21","1","21","false","risky","safe","risky","20","814","bandit","low_value","bandit-task","31","301304","0.0-7.0-0.20","33885","276352","highRank"
"22","1","22","false","risky","safe","risky","0","794","bandit","low_value","bandit-task","32","304953","0.0-7.0-0.21","33885","276352","highRank"
"23","1","23","false","safe","risky","safe","10","1169","bandit","low_value","bandit-task","33","308861","0.0-7.0-0.22","33885","276352","highRank"
"24","1","24","false","safe","risky","risky","100","1066","bandit","high_value","bandit-task","34","312925","0.0-7.0-0.23","33885","276352","highRank"
"25","1","25","false","safe","risky","safe","50","1082","bandit","decision","bandit-task","35","316737","0.0-7.0-0.24","33885","276352","highRank"
"26","1","26","false","safe","risky","safe","50","1190","bandit","decision","bandit-task","36","320680","0.0-7.0-0.25","33885","276352","highRank"
"27","1","27","false","risky","safe","risky","0","1537","bandit","low_value","bandit-task","37","324944","0.0-7.0-0.26","33885","276352","highRank"
"28","1","28","false","safe","risky","safe","50","1110","bandit","decision","bandit-task","38","328725","0.0-7.0-0.27","33885","276352","highRank"
"29","1","29","false","safe","risky","safe","10","957","bandit","low_value","bandit-task","39","332500","0.0-7.0-0.28","33885","276352","highRank"
"30","1","30","false","safe","risky","safe","50","1209","bandit","decision","bandit-task","40","336506","0.0-7.0-0.29","33885","276352","highRank"
"31","1","31","false","risky","safe","safe","10","1375","bandit","low_value","bandit-task","41","340522","0.0-7.0-0.30","33885","276352","highRank"
"32","1","32","false","safe","risky","safe","10","1012","bandit","low_value","bandit-task","42","344267","0.0-7.0-0.31","33885","276352","highRank"
"33","1","33","false","risky","safe","safe","10","1106","bandit","low_value","bandit-task","43","348013","0.0-7.0-0.32","33885","276352","highRank"
"34","1","34","false","risky","safe","risky","0","926","bandit","low_value","bandit-task","44","351786","0.0-7.0-0.33","33885","276352","highRank"
"35","1","35","false","safe","risky","risky","80","1669","bandit","high_value","bandit-task","45","356338","0.0-7.0-0.34","33885","276352","highRank"
"36","1","36","false","risky","safe","safe","50","1113","bandit","decision","bandit-task","46","360113","0.0-7.0-0.35","33885","276352","highRank"
"37","2","1","false","safe","risky","safe","90","1568","bandit","high_value","bandit-task","48","370654","0.0-9.0-0.0","33885","276352","highRank"
"38","2","2","false","risky","safe","safe","10","1108","bandit","low_value","bandit-task","49","374534","0.0-9.0-0.1","33885","276352","highRank"
"39","2","3","false","safe","risky","safe","10","1419","bandit","low_value","bandit-task","50","378665","0.0-9.0-0.2","33885","276352","highRank"
"40","2","4","false","safe","risky","risky","0","1473","bandit","low_value","bandit-task","51","383024","0.0-9.0-0.3","33885","276352","highRank"
"41","2","5","false","safe","risky","risky","30","2098","bandit","decision","bandit-task","52","388102","0.0-9.0-0.4","33885","276352","highRank"
"42","2","6","false","risky","safe","safe","50","1253","bandit","decision","bandit-task","53","392527","0.0-9.0-0.5","33885","276352","highRank"
"43","2","7","false","safe","risky","safe","10","1200","bandit","low_value","bandit-task","54","396456","0.0-9.0-0.6","33885","276352","highRank"
"44","2","8","false","risky","safe","safe","10","1017","bandit","low_value","bandit-task","55","400183","0.0-9.0-0.7","33885","276352","highRank"
"45","2","9","false","risky","safe","safe","10","1044","bandit","low_value","bandit-task","56","404002","0.0-9.0-0.8","33885","276352","highRank"
"46","2","10","false","safe","risky","safe","10","1153","bandit","low_value","bandit-task","57","407815","0.0-9.0-0.9","33885","276352","highRank"
