"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","risky","safe","safe","50","2073","bandit","bandit-task","8","174072","0.0-7.0-0.0","12700","488246","highRank"
"2","1","2","true","","","risky","30","1078","bandit","bandit-task","9","178082","0.0-7.0-0.1","12700","488246","highRank"
"3","1","3","false","worst","context","worst","0","31637","bandit","bandit-task","10","215100","0.0-7.0-0.2","12700","488246","highRank"
"4","1","4","false","risky","safe","safe","50","1204","bandit","bandit-task","11","219086","0.0-7.0-0.3","12700","488246","highRank"
"5","1","5","false","context","worst","context","100","3377","bandit","bandit-task","12","227398","0.0-7.0-0.4","12700","488246","highRank"
"6","1","6","false","context","worst","context","3","1140","bandit","bandit-task","13","234442","0.0-7.0-0.5","12700","488246","highRank"
"7","1","7","false","risky","safe","safe","50","1342","bandit","bandit-task","14","242250","0.0-7.0-0.6","12700","488246","highRank"
"8","1","8","false","context","worst","worst","0","1930","bandit","bandit-task","15","249003","0.0-7.0-0.7","12700","488246","highRank"
"9","1","9","false","risky","safe","safe","50","1298","bandit","bandit-task","16","253143","0.0-7.0-0.8","12700","488246","highRank"
"10","1","10","true","","","worst","0","1059","bandit","bandit-task","17","256957","0.0-7.0-0.9","12700","488246","highRank"
"11","1","11","false","worst","context","context","12","2666","bandit","bandit-task","18","262355","0.0-7.0-0.10","12700","488246","highRank"
"12","1","12","false","worst","context","context","17","2567","bandit","bandit-task","19","267673","0.0-7.0-0.11","12700","488246","highRank"
"13","1","13","true","","","context","45","900","bandit","bandit-task","20","271181","0.0-7.0-0.12","12700","488246","highRank"
"14","1","14","true","","","risky","70","1227","bandit","bandit-task","21","279793","0.0-7.0-0.13","12700","488246","highRank"
"15","1","15","true","","","safe","50","1119","bandit","bandit-task","22","287239","0.0-7.0-0.14","12700","488246","highRank"
"16","1","16","false","context","worst","context","63","1655","bandit","bandit-task","23","291634","0.0-7.0-0.15","12700","488246","highRank"
"17","1","17","false","context","worst","context","9","1836","bandit","bandit-task","24","296162","0.0-7.0-0.16","12700","488246","highRank"
"18","1","18","false","risky","safe","safe","50","1234","bandit","bandit-task","25","300588","0.0-7.0-0.17","12700","488246","highRank"
"19","1","19","false","risky","safe","safe","50","3037","bandit","bandit-task","26","306642","0.0-7.0-0.18","12700","488246","highRank"
"20","1","20","false","risky","safe","safe","50","1113","bandit","bandit-task","27","310313","0.0-7.0-0.19","12700","488246","highRank"
"21","1","21","false","context","worst","context","39","2356","bandit","bandit-task","28","315172","0.0-7.0-0.20","12700","488246","highRank"
"22","1","22","false","worst","context","context","100","4109","bandit","bandit-task","29","321880","0.0-7.0-0.21","12700","488246","highRank"
"23","1","23","false","context","worst","context","18","1305","bandit","bandit-task","30","325660","0.0-7.0-0.22","12700","488246","highRank"
"24","1","24","false","worst","context","context","100","1080","bandit","bandit-task","31","329318","0.0-7.0-0.23","12700","488246","highRank"
"25","1","25","false","worst","context","context","36","1301","bandit","bandit-task","32","333103","0.0-7.0-0.24","12700","488246","highRank"
"26","1","26","false","worst","context","context","100","1053","bandit","bandit-task","33","337341","0.0-7.0-0.25","12700","488246","highRank"
"27","1","27","false","risky","safe","safe","50","1181","bandit","bandit-task","34","341036","0.0-7.0-0.26","12700","488246","highRank"
"28","1","28","false","worst","context","context","100","943","bandit","bandit-task","35","344556","0.0-7.0-0.27","12700","488246","highRank"
"29","1","29","false","risky","safe","safe","50","2711","bandit","bandit-task","36","349861","0.0-7.0-0.28","12700","488246","highRank"
"30","1","30","false","context","worst","context","100","1927","bandit","bandit-task","37","354250","0.0-7.0-0.29","12700","488246","highRank"
"31","1","31","false","worst","context","context","38","953","bandit","bandit-task","38","357667","0.0-7.0-0.30","12700","488246","highRank"
"32","1","32","true","","","context","100","599","bandit","bandit-task","39","360753","0.0-7.0-0.31","12700","488246","highRank"
"33","1","33","false","context","worst","context","40","1176","bandit","bandit-task","40","364768","0.0-7.0-0.32","12700","488246","highRank"
"34","1","34","false","safe","risky","safe","50","1036","bandit","bandit-task","41","368248","0.0-7.0-0.33","12700","488246","highRank"
"35","1","35","true","","","safe","50","593","bandit","bandit-task","42","371297","0.0-7.0-0.34","12700","488246","highRank"
"36","1","36","false","worst","context","context","20","1335","bandit","bandit-task","43","375142","0.0-7.0-0.35","12700","488246","highRank"
"37","1","37","false","risky","safe","safe","50","1251","bandit","bandit-task","44","379007","0.0-7.0-0.36","12700","488246","highRank"
"38","1","38","false","worst","context","context","16","1335","bandit","bandit-task","45","382856","0.0-7.0-0.37","12700","488246","highRank"
"39","1","39","false","worst","context","context","100","2035","bandit","bandit-task","46","387551","0.0-7.0-0.38","12700","488246","highRank"
"40","1","40","false","context","worst","context","64","1088","bandit","bandit-task","47","391117","0.0-7.0-0.39","12700","488246","highRank"
"41","1","41","false","safe","risky","safe","50","1066","bandit","bandit-task","48","394634","0.0-7.0-0.40","12700","488246","highRank"
"42","1","42","true","","","worst","0","874","bandit","bandit-task","49","397999","0.0-7.0-0.41","12700","488246","highRank"
"43","1","43","false","worst","context","context","57","835","bandit","bandit-task","50","401338","0.0-7.0-0.42","12700","488246","highRank"
"44","1","44","false","worst","context","context","19","956","bandit","bandit-task","51","404766","0.0-7.0-0.43","12700","488246","highRank"
"45","2","1","false","safe","risky","safe","50","1222","bandit","bandit-task","53","410749","0.0-9.0-0.0","12700","488246","highRank"
"46","2","2","true","","","risky","70","835","bandit","bandit-task","54","414060","0.0-9.0-0.1","12700","488246","highRank"
"47","2","3","false","context","worst","context","100","1552","bandit","bandit-task","55","418076","0.0-9.0-0.2","12700","488246","highRank"
"48","2","4","false","safe","risky","safe","50","1182","bandit","bandit-task","56","422733","0.0-9.0-0.3","12700","488246","highRank"
"49","2","5","false","worst","context","context","100","1495","bandit","bandit-task","57","426855","0.0-9.0-0.4","12700","488246","highRank"
"50","2","6","false","worst","context","context","43","968","bandit","bandit-task","58","431470","0.0-9.0-0.5","12700","488246","highRank"
"51","2","7","false","risky","safe","safe","50","1682","bandit","bandit-task","59","435672","0.0-9.0-0.6","12700","488246","highRank"
"52","2","8","false","worst","context","context","42","1265","bandit","bandit-task","60","439463","0.0-9.0-0.7","12700","488246","highRank"
"53","2","9","false","safe","risky","safe","50","998","bandit","bandit-task","61","442946","0.0-9.0-0.8","12700","488246","highRank"
"54","2","10","true","","","worst","0","728","bandit","bandit-task","62","446123","0.0-9.0-0.9","12700","488246","highRank"
"55","2","11","false","context","worst","context","100","785","bandit","bandit-task","63","449454","0.0-9.0-0.10","12700","488246","highRank"
"56","2","12","false","worst","context","context","4","31261","bandit","bandit-task","64","483267","0.0-9.0-0.11","12700","488246","highRank"
"57","2","13","true","","","context","7","700","bandit","bandit-task","65","486452","0.0-9.0-0.12","12700","488246","highRank"
"58","2","14","true","","","risky","30","867","bandit","bandit-task","66","489873","0.0-9.0-0.13","12700","488246","highRank"
"59","2","15","true","","","safe","50","799","bandit","bandit-task","67","493141","0.0-9.0-0.14","12700","488246","highRank"
"60","2","16","false","worst","context","context","100","1062","bandit","bandit-task","68","496794","0.0-9.0-0.15","12700","488246","highRank"
"61","2","17","false","worst","context","context","10","937","bandit","bandit-task","69","500258","0.0-9.0-0.16","12700","488246","highRank"
"62","2","18","false","risky","safe","safe","50","832","bandit","bandit-task","70","503602","0.0-9.0-0.17","12700","488246","highRank"
"63","2","19","false","risky","safe","safe","50","1944","bandit","bandit-task","71","508033","0.0-9.0-0.18","12700","488246","highRank"
"64","2","20","false","risky","safe","safe","50","633","bandit","bandit-task","72","511650","0.0-9.0-0.19","12700","488246","highRank"
"65","2","21","false","context","worst","context","37","1296","bandit","bandit-task","73","515440","0.0-9.0-0.20","12700","488246","highRank"
"66","2","22","false","context","worst","context","100","937","bandit","bandit-task","74","518876","0.0-9.0-0.21","12700","488246","highRank"
"67","2","23","false","context","worst","context","100","871","bandit","bandit-task","75","522310","0.0-9.0-0.22","12700","488246","highRank"
"68","2","24","false","context","worst","context","56","725","bandit","bandit-task","76","525506","0.0-9.0-0.23","12700","488246","highRank"
"69","2","25","false","context","worst","context","5","720","bandit","bandit-task","77","528676","0.0-9.0-0.24","12700","488246","highRank"
